Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Ballyhoo Mk.27,653875712,"""6917529029864563947""",,Rare,Hand Cannon,campaign,KineticSlot,Kinetic,1600,,,,Vault,true,false,1,1,,86,72,84,43,14,0,0,49,140,38,10,45,0,0,0,0,0,0,0,0,0,0,false,0,0,,,,Adaptive Frame*,TrueSight HCS*,SteadyHand HCS,Armor-Piercing Rounds*,Hip-Fire Grip*,Flowers of Io (Worn)*,Kinetic Damage Mod*,,,,,,,,
Traitor's Fate,2683682446,"""6917529029939152577""",,Legendary,Sword,deluxe,Power,Arc,1600,1060,,,Vault,true,false,1,1,,0,0,61,0,0,0,0,0,0,0,64,0,0,0,0,20,80,0,0,40,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade,Tempered Edge*,Burst Guard*,Enduring Guard,Assassin's Blade*,Arc Damage Mod*,,,,,,,,
MIDA Mini-Tool,3089417788,"""6917529030672961475""",,Legendary,Submachine Gun,edz,Energy,Solar,1600,,Stability,1,Vault,true,false,1,1,,80,49,15,30,14,0,0,55,900,31,37,80,0,0,0,0,0,0,0,0,0,28,false,0,0,,,,Lightweight Frame*,Fluted Barrel*,Alloy Magazine*,Hip-Fire Grip*,Kill Clip*,Kill Tracker,Tier 1: Stability*,Omolon Meteor Gloss*,,,,,,,
Better Devils,1048266744,"""6917529047227282966""",,Legendary,Hand Cannon,crucible,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,1,1,,88,80,84,50,14,0,0,37,140,55,10,40,0,0,0,0,0,0,0,0,0,10,false,0,90,fotc,,,Adaptive Frame*,Fastdraw HCS,SteadyHand HCS,Sureshot HCS*,Extended Mag,Flared Magwell*,Explosive Payload*,Dawning Warmth*,Weapon Attack Mod*,Masterwork Weapon*,,,,,
Sorrow MG2,1195725819,"""6917529048187880675""",,Common,Submachine Gun,campaign,Energy,Arc,1600,,,,Vault,true,false,1,1,,86,45,15,23,13,0,0,32,900,31,35,61,0,0,0,0,0,0,0,0,0,0,false,0,0,omolon,,,Lightweight Frame*,Candle PS*,,,,,,,,,,,,,
It Stared Back,1018072983,"""6917529048852105349""",,Legendary,Sword,dcv,Power,Arc,1600,1060,Impact,5,Vault,false,false,1,1,,0,0,66,0,0,0,0,0,0,0,56,0,0,0,0,20,0,0,90,40,0,0,false,0,492,,,,Adaptive Frame*,Hungry Edge,Jagged Edge*,Enduring Guard*,Burst Guard,Whirlwind Blade*,Relentless Strikes*,Arc Damage Mod*,Masterwork Weapon*,,,,,,
Midnight Coup,1128225405,"""6917529048855136806""",,Legendary,Hand Cannon,dcv,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,1,1,,90,90,84,50,14,0,0,45,140,56,12,60,0,0,0,0,0,0,0,0,0,24,false,0,653,,,,Adaptive Frame*,Smallbore,Corkscrew Rifling,Extended Barrel*,Rampage*,Ambitious Assassin,Outlaw*,Monochromatic*,Kinetic Damage Mod*,Masterwork Weapon*,,,,,
The Wardcliff Coil,1508896098,"""6917529049149496469""",,Exotic,Rocket Launcher,,Power,Arc,1600,,,10,Vault,false,false,1,1,,60,80,0,0,15,25,95,55,60,30,1,80,0,0,0,0,0,0,0,0,0,11,false,0,667,,,,Mad Scientist*,Volatile Launch*,Extended Mag*,Mechanized Autoloader*,Composite Stock*,Kill Tracker,Wardcliff Coil Catalyst*,,,,,,,,
Origin Story,1644162710,"""6917529058455292030""",,Legendary,Auto Rifle,strikes,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,1,1,,73,35,29,59,16,0,0,40,450,41,36,62,0,0,0,0,0,0,0,0,0,10,false,0,264,fotc,,,Precision Frame*,Hitmark IS*,Red Dot 2 MOA,Red Dot Micro,Appended Mag*,Flared Magwell,Rampage*,Kinetic Damage Mod*,Masterwork Weapon*,,,,,,
Tractor Cannon,3580904581,"""6917529064424982343""",,Exotic,Shotgun,,Power,Void,1800,,"Magazine, Inventory Size",10,Vault,true,false,1,1,,70,90,65,20,12,0,0,95,80,15,7,35,0,0,0,0,0,0,0,0,0,8,false,0,1798,,,,Repulsor Force*,Extended Barrel*,Particle Repeater*,The Scientific Method*,Composite Stock*,Kill Tracker,Tractor Cannon Catalyst*,Machinist's Trove*,,,,,,,
